id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154068975950,Book,,DS110.K544 E93 2023,NYU ISAW Offsite,Offsite Collection,9998681030007876,"The excavations at Khirbet el-Maqatir, Israel : 1995-2001 and 2009-2016.",1803272112; 9781803272115; 9781803272122; 1803272120,,,Archaeopress,Oxford :,2023.,Bible Geography.; Excavations (Archaeology)--West Bank--Khirbet el-Maqatir Site.; Khirbet el-Maqatir Site (West Bank)--Antiquities.; Bible; Antiquities; Excavations (Archaeology); Geography; Khirbet el-Maqatir.; Bible Géographie.,https://pleiades.stoa.org/places/78089715,,0,,,,,2024-09-03,2025-02-11
31154068975968,Book,,DS747.5 .L42 2007,NYU Inst Study Ancient World,Small Collection,990005006640107876,The early Chinese empires : Qin and Han /,067402477X; 9780674024779; 0674057341; 9780674057340,,"Lewis, Mark Edward, 1954-",Belknap Press of Harvard University Press,"Cambridge, Mass. :",2007.,"China--History--Qin dynasty, 221-207 B.C.; Civilization, Oriental--History.; China--Civilization--History.; China--Antiquities.; Antiquities; Civilization; Civilization, Oriental; Han Dynasty (China); Qin Dynasty (China); 221 B.C.-220 A.D; History; 15.75 history of Asia.; China--History.; Qindynastie; Handynastie; China; Qin dynasty.; Han-dynasty.; 300 b.C.-0.; 0-500.; China--History--221-207 B.C., Qin dynasty.; China--History--Han dynasty, 202 B.C.-220 A.D.; Chine--Histoire.; Chine--221-207 av. J.-C. (Dynastie des Qin); Chine--202 av. J.C.-220 (Dynastie des Han); Kina--historia.; 202 f. Kr.-220 e. Kr. (Handynastin, Kina); 221-207 f. Kr. (Qindynastin, Kina); Imperial China.; China.; Ancient China.; China--History--To 221 B.C.; Chine--Histoire--202 av. J.-C.-220 (Dynastie des Han); Chine--Histoire--221-207 av. J.-C. (Dynastie des Qin); Civilisation orientale--Histoire.; Chine--Civilisation--Histoire.; Chine--Antiquités.",(NL-LeOCL)078467772; http://vocab.getty.edu/tgn/8697462; http://vocab.getty.edu/tgn/1000111; http://vocab.getty.edu/tgn/8697463;,https://id.oclc.org/worldcat/entity/E39PBJdCqh8h6hJY7PT6MQW4bd;,1,,,,,2024-09-04,2025-06-05
31154068975976,Book,,PJ3721.A84 K45 Bd.16:2024,NYU Inst Study Ancient World,Oversize Collection,9998682919807876,Historisch-epische Texte /,3447120800; 9783447120807,,"Jakob, Stefan, author.",Harrassowitz Verlag,Wiesbaden :,2024,"Epic poetry, Assyro-Babylonian--History and criticism.; Cuneiform inscriptions, Akkadian.; Cuneiform tablets--Iraq--Ashur (Extinct city); Cuneiform tablets--Assyria.; Ashur (Extinct city); Cuneiform inscriptions, Akkadian; Cuneiform tablets; Epic poetry, Assyro-Babylonian; Middle East--Assyria; Iraq--Ashur (Extinct city); Criticism, interpretation, etc.; Ashur/'Lamban'?/'Liba(nai)'?; Poésie épique assyro-babylonienne--Histoire et critique.; Inscriptions cunéiformes akkadiennes.; Tablettes cunéiformes--Assyrie.; Tablettes cunéiformes--Irak--Assour (Ville ancienne); Assour (Ville ancienne)",https://pleiades.stoa.org/places/893945;,,0,,,,,2024-09-16,2024-09-16
31154068975984,Book,,PJ3721.A84 K45 Bd.17:2023,NYU Inst Study Ancient World,Oversize Collection,9998682919707876,Texte verschiedenen Inhalts /,3447120940; 9783447120944,,"Hätinen, Aino, 1985- author.",Harrassowitz Verlag,Wiesbaden :,2023.,"Cuneiform inscriptions, Akkadian.; Cuneiform tablets--Iraq--Ashur (Extinct city)--Catalogs.; Assyro-Babylonian literature--Iraq--Ashur (Extinct city); Clay tablets.; Civilization, Assyro-Babylonian.; Assyro-Babylonian literature; Civilization, Assyro-Babylonian; Clay tablets; Cuneiform inscriptions, Akkadian; Cuneiform tablets; Iraq--Ashur (Extinct city); Catalogs; Ashur/'Lamban'?/'Liba(nai)'?; Inscriptions cunéiformes akkadiennes.; Tablettes cunéiformes--Catalogues.; Littérature assyro-babylonienne--Irak--Assour (Ville ancienne); Tablettes d'argile.; Civilisation assyro-babylonienne.; Tablettes cunéiformes--Irak--Assour (Ville ancienne)--Catalogues.",https://pleiades.stoa.org/places/893945,,0,,,,,2024-09-16,2024-09-16
31154068975992,Book,,HF376.M9 M87 2017,NYU Inst Study Ancient World,Small Collection,9998683325407876,"The collapse of the Mycenaean economy : imports, trade, and institutions, 1300-700 BCE /",1107186374; 9781107186378; 9781316953099; 1316953092,,"Murray, Sarah author. (Sarah C.),",Cambridge University Press,"New York, NY :",2017.,Mycenae (Extinct city)--Commerce--Mediterranean Region.; Imports--Mediterranean Region--History--To 1500.; Bronze age--Mediterranean Region.; Iron age--Mediterranean Region.; Mycenae (Extinct city)--Economic conditions.; Mediterranean Region--Economic conditions.; Mediterranean Region--Antiquities.; Antiquities; Bronze age; Commerce; Economic history; Imports; Iron age; Social change; Greece--Mycenae (Extinct city); Mediterranean Region; To 1500; History; SOCIAL SCIENCE--Archaeology.; Imports--Greece--Mycenae (Extinct city); Imports--Mediterranean Region--History--To 1500; Social change--Greece--Mycenae (Extinct city); Bronze age--Mediterranean Region; Iron age--Mediterranean Region; Mycenae (Extinct city)--Commerce--Mediterranean Region; Mediterranean Region--Commerce--Greece--Mycenae (Extinct city); Mycenae (Extinct city)--Economic conditions; Mediterranean Region--Economic conditions; Mediterranean Region--Antiquities; Hellas.; Creta (island); Mycenae.; Internum Mare.; Importations--Grèce--Mycènes (Ville ancienne); Mycènes (Ville ancienne)--Conditions économiques.,https://pleiades.stoa.org/places/696690497; https://pleiades.stoa.org/places/589748; https://pleiades.stoa.org/places/570491; https://pleiades.stoa.org/places/1043;,,1,,,,,2024-09-23,2025-06-05
31154068976008,Book,,DS101 .A45 v.76-77 (2024),NYU Inst Study Ancient World,Large Collection,9998683325307876,"City and cemetery : excavations at Kourion's Amathous Gate Cemetery, Cyprus : the excavations of Danielle A. Parks /",0897571207; 9780897571203; 0897571215; 9780897571210,,,American Society of Overseas Research,"Alexandria, VA :",[2024],Cyprus--Antiquities.; Antiquities; Excavations (Archaeology); Cyprus; Cyprus--Kourion (Extinct city); Excavations (Archaeology)--Cyprus--Kourion (Extinct city); Cyprus--Antiquities; Kourion (Extinct city); Kourion.; Cyprus (island); Fouilles (Archéologie)--Chypre--Courion (Ville ancienne); Chypre--Antiquités.; Courion (Ville ancienne),https://pleiades.stoa.org/places/707549; https://pleiades.stoa.org/places/707498;,https://id.oclc.org/worldcat/entity/E39QbtfRphw4TgXv6FQ8hcYXqp;,0,v.76(2024),White-Levy Program,,,2024-09-23,2024-09-23
31154068976016,Book,,DS101 .A45 v.76-77 (2024),NYU Inst Study Ancient World,Large Collection,9998683325307876,"City and cemetery : excavations at Kourion's Amathous Gate Cemetery, Cyprus : the excavations of Danielle A. Parks /",0897571207; 9780897571203; 0897571215; 9780897571210,,,American Society of Overseas Research,"Alexandria, VA :",[2024],Cyprus--Antiquities.; Antiquities; Excavations (Archaeology); Cyprus; Cyprus--Kourion (Extinct city); Excavations (Archaeology)--Cyprus--Kourion (Extinct city); Cyprus--Antiquities; Kourion (Extinct city); Kourion.; Cyprus (island); Fouilles (Archéologie)--Chypre--Courion (Ville ancienne); Chypre--Antiquités.; Courion (Ville ancienne),https://pleiades.stoa.org/places/707549; https://pleiades.stoa.org/places/707498;,https://id.oclc.org/worldcat/entity/E39QbtfRphw4TgXv6FQ8hcYXqp;,0,v.77(2024),White-Levy Program,,,2024-09-23,2024-09-23
31154068976024,Book,,DS101 .A45 v.75 (2024),NYU Inst Study Ancient World,Large Collection,9998683317207876,The Amman Theater Statue in its Iron Age contexts /,0897571193; 9780897571197,,"Burnett, Joel S., 1968- author.",American Society of Overseas Research,"Alexandria, VA :",[2024],"Sculpture, Ancient--Jordan.; Amman (Jordan)--Antiquities.; Excavations (Archaeology)--Jordan--Amman.; Iron age--Jordan.; Excavations (Archaeology); Jordan--Amman.; Iron age.; Jordan.; Sculpture, Ancient--Jordan; Excavations (Archaeology)--Jordan--Amman; Iron age--Jordan; Amman (Jordan)--Antiquities; Roman theater at Amman/Philadelpheia.; Amman/Philadelpheia.; Fouilles (Archéologie)--Jordanie--ʻAmmān.; Sculpture antique--Jordanie.",https://id.worldcat.org/fast/1209881; https://id.worldcat.org/fast/1205669; https://pleiades.stoa.org/places/456828744; https://pleiades.stoa.org/places/697728,,0,,cn,,,2024-09-25,2024-09-25
31154068976032,Book,,"DT57 .D47 no.86, etc.",NYU Inst Study Ancient World,Oversize Collection,990000065370107876,Umm el-Qaab.,9783805324861; 3805324863; 9783805327848; 3805327846; 3447121491; 9783447121491; 3447105828; 9783447105828; 3447108762; 9783447108768; 3447062568; 9783447062565; 3447113448; 9783447113441,,,Verlag Philipp von Zabern,Mainz :,1998-<2020>,"Excavations (Archaeology)--Egypt--Umm al-Qaʿab.; Egyptian language--Writing, Hieroglyphic--History.; Umm al-Qaʿab (Egypt)--Antiquities.; Antiquities; Egyptian language--Writing, Hieroglyphic; Excavations (Archaeology); Egypt--Umm al-Qaʻab; History; Ausgrabung; Funde; Königsgrab U-j--Abydos, Ägypten; Excavations (Archaeology)--Egypt--Umm al-Qaʻab.; Pottery, Egyptian.; Tombs--Egypt--Umm al-Qaʻab.; Umm al-Qaʻab (Egypt)--Antiquities.; Umm el-Qa'ab.; Abydos (Ägypten)--Umm el-Qaâb.; Égyptien (Langue)--Écriture hiéroglyphique--Histoire.",https://pleiades.stoa.org/places/438681814;,,0,no.123:(Bd.7):2011,c,,,2024-09-25,2024-09-25
31154068988029,Book,,DF234.2 .K68 2024,NYU Inst Study Ancient World,Small Collection,9998680928807876,Alexander at the end of the world : the forgotten final years of Alexander the Great /,006286968X; 9780062869685,,"Kousser, Rachel, 1972- author.",Mariner Books,New York :,[2024],"Alexander,--the Great,--356 B.C.-323 B.C.; Alexander,--the Great,--356 B.C.-323 B.C.--Last years.; Greece--Kings and rulers--Biography.; Macedonia--Kings and rulers--Biography.; Greece--History--Macedonian Expansion, 359-323 B.C.; Asia, Central--History--To 1500.; Military history, Ancient.; Biography.; Kings and rulers.; Greece; Europe--Macedonia; Macedonian Expansion (Greece : 359-323 B.C.); 359-323 B.C.; Biographies; History.; HISTORY / Ancient / Greece.; HISTORY / Asia / Central Asia.; HISTORY / Military / Ancient.; BIOGRAPHY & AUTOBIOGRAPHY / Adventurers & Explorers.; BIOGRAPHY & AUTOBIOGRAPHY / Historical.; Seleucid Empire.; Biographies.; Generals--Biography.; Greece--Biography.; Greece--History.; Alexandrian Empire.; Histoire militaire ancienne.; Grèce--Histoire--359-323 av. J.-C. (Expansion de la Macédoine); Asie centrale--Histoire--Jusqu'à 1500.",,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP $$1 http://id.worldcat.org/fast/1208380.; https://id.oclc.org/worldcat/entity/E39PBJxd6ptVqhgjCrhvKtWv73;,1,,,,,2024-09-04,2024-09-04
