id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe,final_category
31154069008280,Book,,NK7983.22 .H39127,NYU Inst Study Ancient World,Oversize Collection,9998784926907876,Yin Zhou qing tong qi zong lan /,7532583511; 9787532583515; 7532593517; 9787532593514; 7573202334; 9787573202338,,"Hayashi, Minao, 1925-2006, author.",Shanghai gu ji chu ban she,Shanghai :,2017-2022.,"Bronzes, Chinese--To 221 B.C.; Bronzes, Chinese--To 221 B.C.--Pictorial works.; China--Antiquities.; Antiquities; Bronzes, Chinese; China; To 221 B.C.; Illustrated works; Ancient China.; Bronzes chinois--Jusqu'à 221 av. J.-C.; Bronzes chinois--Jusqu'à 221 av. J.-C.--Ouvrages illustrés.; Chine--Antiquités.",http://vocab.getty.edu/tgn/8697463;,https://id.oclc.org/worldcat/entity/E39PBJdCqh8h6hJY7PT6MQW4bd;,0,v.2:2019:text,,,,2026-02-12,2026-02-18,"China, South Asia, & East Asia",0.9247018786690862,0.0,0.0144484668542044,0.9247018786690862,0.0396300805143894,0.0,0.012495971333366,0.0087236026289536,"China, South Asia, & East Asia"
31154069008298,Book,,NK7983.22 .H39127,NYU Inst Study Ancient World,Oversize Collection,9998784926907876,Yin Zhou qing tong qi zong lan /,7532583511; 9787532583515; 7532593517; 9787532593514; 7573202334; 9787573202338,,"Hayashi, Minao, 1925-2006, author.",Shanghai gu ji chu ban she,Shanghai :,2017-2022.,"Bronzes, Chinese--To 221 B.C.; Bronzes, Chinese--To 221 B.C.--Pictorial works.; China--Antiquities.; Antiquities; Bronzes, Chinese; China; To 221 B.C.; Illustrated works; Ancient China.; Bronzes chinois--Jusqu'à 221 av. J.-C.; Bronzes chinois--Jusqu'à 221 av. J.-C.--Ouvrages illustrés.; Chine--Antiquités.",http://vocab.getty.edu/tgn/8697463;,https://id.oclc.org/worldcat/entity/E39PBJdCqh8h6hJY7PT6MQW4bd;,0,v.2:2019:plates,,,,2026-02-12,2026-02-18,"China, South Asia, & East Asia",0.9247018786690862,0.0,0.0144484668542044,0.9247018786690862,0.0396300805143894,0.0,0.012495971333366,0.0087236026289536,"China, South Asia, & East Asia"
31154069008306,Book,,PL2448 .C436 2024,NYU Inst Study Ancient World,Oversize Collection,9998784928007876,Changsha Zoumalou xi Han jian du = Changsha Zoumalou xiHan jiandu /,7553820512; 9787553820514,,,Yuelu shu she,Changsha Shi :,2024.,"Inscriptions, Chinese--China--Changsha Shi.; Wooden tablets--China--Changsha Shi.; Changsha.; Zoumalou.; Inscriptions chinoises--Chine--Changsha.; Tablettes en bois--Chine--Changsha.",http://vocab.getty.edu/tgn/8208120;,http://www.wikidata.org/entity/Q227049,0,v.4,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008314,Book,,PL2448 .C436 2024,NYU Inst Study Ancient World,Oversize Collection,9998784928007876,Changsha Zoumalou xi Han jian du = Changsha Zoumalou xiHan jiandu /,7553820512; 9787553820514,,,Yuelu shu she,Changsha Shi :,2024.,"Inscriptions, Chinese--China--Changsha Shi.; Wooden tablets--China--Changsha Shi.; Changsha.; Zoumalou.; Inscriptions chinoises--Chine--Changsha.; Tablettes en bois--Chine--Changsha.",http://vocab.getty.edu/tgn/8208120;,http://www.wikidata.org/entity/Q227049,0,v.3,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008322,Book,,PL2448 .C436 2024,NYU Inst Study Ancient World,Oversize Collection,9998784928007876,Changsha Zoumalou xi Han jian du = Changsha Zoumalou xiHan jiandu /,7553820512; 9787553820514,,,Yuelu shu she,Changsha Shi :,2024.,"Inscriptions, Chinese--China--Changsha Shi.; Wooden tablets--China--Changsha Shi.; Changsha.; Zoumalou.; Inscriptions chinoises--Chine--Changsha.; Tablettes en bois--Chine--Changsha.",http://vocab.getty.edu/tgn/8208120;,http://www.wikidata.org/entity/Q227049,0,v.2,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008330,Book,,PL2448 .C436 2024,NYU Inst Study Ancient World,Oversize Collection,9998784928007876,Changsha Zoumalou xi Han jian du = Changsha Zoumalou xiHan jiandu /,7553820512; 9787553820514,,,Yuelu shu she,Changsha Shi :,2024.,"Inscriptions, Chinese--China--Changsha Shi.; Wooden tablets--China--Changsha Shi.; Changsha.; Zoumalou.; Inscriptions chinoises--Chine--Changsha.; Tablettes en bois--Chine--Changsha.",http://vocab.getty.edu/tgn/8208120;,http://www.wikidata.org/entity/Q227049,0,v.1,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008348,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.5,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008355,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.4,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008363,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.3,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008371,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.2,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008389,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.1:pt.2,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008397,Book,,DS797.48.P36 P3656 2024,NYU Inst Study Ancient World,Large Collection,9998784927907876,Panlongcheng (1995-2019) /,7030795490; 9787030795496; 7030795504; 9787030795502; 7030795512; 9787030795519; 7030795520; 9787030795526; 7030795539; 9787030795533,,,Ke xue chu ban she,Beijing :,2024.,"Panlongcheng Site (China)--Exhibitions.; Bronzes, Chinese--China--Panlongcheng Site--To 221 B.C.; Excavations (Archaeology)--China--Panlongcheng Site.; Wuhan (China)--Antiquities.; Panlongcheng.",,https://www.wikidata.org/entity/Q217684,0,v.1:pt.1,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.8803347924419206,0.05502092452762,0.013755231131905,0.8803347924419206,0.0,0.0314405283014971,0.0111434783853407,0.0083050452117162,"China, South Asia, & East Asia"
31154069008405,Book,,PL2448 .H8345 2024,NYU Inst Study Ancient World,Oversize Collection,9998784927507876,Hubei chu tu Chu jian wu zhong /,7501083452; 9787501083459; 7501083444; 9787501083442,,,Wen wu chu ban she,Beijing :,2024.,"Inscriptions, Chinese--China--Hubei Sheng.; Manuscripts, Chinese.; Wooden tablets--China--Hubei Sheng.; Hubei.; Inscriptions chinoises--Chine--Hubei.; Tablettes en bois--Chine--Hubei.",http://vocab.getty.edu/tgn/7002078,,0,v.1:pt.1,,,,2026-02-11,2026-02-11,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008413,Book,,PL2448 .H8345 2024,NYU Inst Study Ancient World,Oversize Collection,9998784927507876,Hubei chu tu Chu jian wu zhong /,7501083452; 9787501083459; 7501083444; 9787501083442,,,Wen wu chu ban she,Beijing :,2024.,"Inscriptions, Chinese--China--Hubei Sheng.; Manuscripts, Chinese.; Wooden tablets--China--Hubei Sheng.; Hubei.; Inscriptions chinoises--Chine--Hubei.; Tablettes en bois--Chine--Hubei.",http://vocab.getty.edu/tgn/7002078,,0,v.1:pt.2,,,,2026-02-11,2026-02-11,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008421,Book,,PL2448 .H8345 2024,NYU Inst Study Ancient World,Oversize Collection,9998784927507876,Hubei chu tu Chu jian wu zhong /,7501083452; 9787501083459; 7501083444; 9787501083442,,,Wen wu chu ban she,Beijing :,2024.,"Inscriptions, Chinese--China--Hubei Sheng.; Manuscripts, Chinese.; Wooden tablets--China--Hubei Sheng.; Hubei.; Inscriptions chinoises--Chine--Hubei.; Tablettes en bois--Chine--Hubei.",http://vocab.getty.edu/tgn/7002078,,0,v.2,,,,2026-02-11,2026-02-11,"China, South Asia, & East Asia",0.9846153846153848,0.0,0.0153846153846153,0.9846153846153848,0.0,0.0,0.0,0.0,"China, South Asia, & East Asia"
31154069008439,Book,,DS797.86.S558 S5586 2024,NYU Inst Study Ancient World,Small Collection,9998784927707876,Shizong Dayuanzi mu di /,703078605X; 9787030786050,,,Ke xue chu ban she,Beijing :,2024.,Tombs--China--Shizong Xian.; Excavations (Archaeology)--China--Shizong Xian.; Shizong Xian (China)--Antiquities.; Dayuanzi Site (China); Dayunanzi cemetery.,,http://www.wikidata.org/entity/Q138208367,0,v.2,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9308501564435344,0.0,0.0145445336944302,0.9308501564435344,0.0,0.0332446484444119,0.0125790561681558,0.0087816052494673,"China, South Asia, & East Asia"
31154069008447,Book,,DS797.86.S558 S5586 2024,NYU Inst Study Ancient World,Small Collection,9998784927707876,Shizong Dayuanzi mu di /,703078605X; 9787030786050,,,Ke xue chu ban she,Beijing :,2024.,Tombs--China--Shizong Xian.; Excavations (Archaeology)--China--Shizong Xian.; Shizong Xian (China)--Antiquities.; Dayuanzi Site (China); Dayunanzi cemetery.,,http://www.wikidata.org/entity/Q138208367,0,v.1,,,,2026-02-11,2026-02-12,"China, South Asia, & East Asia",0.9308501564435344,0.0,0.0145445336944302,0.9308501564435344,0.0,0.0332446484444119,0.0125790561681558,0.0087816052494673,"China, South Asia, & East Asia"
31154069008462,Book,,DS797.68.S369 S2688 2024,NYU Inst Study Ancient World,Large Collection,9998784927807876,Sanyuan Tianjing'an jian zhu yi zhi : 2015-2019 nian kao gu fa jue bao gao /,7501084742; 9787501084746,,,Wen wu chu ban she,Beijing :,2024.,Excavations (Archaeology)--China--Sanyuan Xian.; Sanyuan Xian (China)--Antiquities.; Tianjing'an Site (China); Tianjing'an Site.,,http://www.wikidata.org/entity/Q138208449,0,,,,,2026-02-11,2026-02-11,"China, South Asia, & East Asia",0.9050455691971736,0.0370337647135519,0.0141413370187058,0.9050455691971736,0.0,0.0323230560427562,0.0114562730278123,0.0,"China, South Asia, & East Asia"
31154069008470,Book,,DS51.E27 A73 2021,NYU Inst Study Ancient World,Small Collection,9998784727407876,Archaeology of Eastern Anatolia. from prehistoric times to the end of the Iron Ages =,9042951494; 9789042951495; 9789042951501; 9042951508,,"Archaeology of Eastern Anatolia Colloquium 2021), issuing body. (2nd :",Peeters,Leuven :,2025.,"Turkey, Eastern--Antiquities--Congresses.; Excavations (Archaeology)--Turkey, Eastern--Congresses.; Asia Minor.; Turkey, Eastern.; Fouilles (Archéologie)--Turquie (Est)--Congrès.",https://pleiades.stoa.org/places/837;,https://www.wikidata.org/entity/Q112147207,1,,,,,2026-02-12,2026-02-12,Ancient Western Asia,0.8172361120265369,0.8172361120265369,0.0210060689749783,0.0328458533063297,0.0,0.0414339892625718,0.0122062292692441,0.0752717471603389,Ancient Western Asia
