id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154068974458,Book,,TP559.G8 K6713 2015,NYU Inst Study Ancient World,Oversize Collection,9998647312807876,Vine and wine in the ancient Greek world /,9606849511; 9789606849510,,"Kourakou-Dragōna, Stauroula, 1928- author.",Foinikas Publications,Athens :,2015.,Wine and wine making; Greece; To 1500; History; Wine and wine making--Greece--History--To 1500.; Greece (ancient),http://vocab.getty.edu/tgn/7594735,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP;,0,,,,,2024-02-27,2024-02-27
31154068974474,Book,,DS797.88.H364 F3613 2022,NYU Inst Study Ancient World,Large Collection,9998647329107876,Fanshan /,7501074399; 9787501074396,,,Cultural relics press,Beijing :,2022.,"Excavations (Archaeology)--China--Hangzhou Shi.; Yuhang Qu (Hangzhou Shi, China)--Antiquities.; Yuhang Qu (Hangzhou Shi, China)--Civilization.; Yuhang Qu.; Liangzhu site.",http://vocab.getty.edu/tgn/8675418;,http://www.wikidata.org/entity/Q15904183,0,v.1,,,,2024-02-22,2024-02-22
31154068974482,Book,,DS797.88.H364 F3613 2022,NYU Inst Study Ancient World,Large Collection,9998647329107876,Fanshan /,7501074399; 9787501074396,,,Cultural relics press,Beijing :,2022.,"Excavations (Archaeology)--China--Hangzhou Shi.; Yuhang Qu (Hangzhou Shi, China)--Antiquities.; Yuhang Qu (Hangzhou Shi, China)--Civilization.; Yuhang Qu.; Liangzhu site.",http://vocab.getty.edu/tgn/8675418;,http://www.wikidata.org/entity/Q15904183,0,v.2,,,,2024-02-22,2024-02-22
31154068974490,Book,Loan,HM851 .S2485 2024,NYU ISAW Offsite,Offsite Collection,9998647312507876,A history of fake things on the Internet /,1503632881; 9781503632882; 1503644030; 9781503644038; 9781503637047; 1503637042,,"Scheirer, Walter J., author.",Stanford University Press,"Stanford, California :",[2024],Internet--Social aspects--History.; Disinformation--History.; Online manipulation--History.; Deception--History.; Deception; Disinformation; Internet--Social aspects; Online manipulation; History; Informational works.; Documents d'information.; Internet--Aspect social--Histoire.; Désinformation--Histoire.; Tromperie--Histoire.,,,0,,,,,2024-02-27,2026-01-21
31154068974508,Book,,NB118.G74 W67 2021,NYU Inst Study Ancient World,Large Collection,9998647311307876,"""The work of magic art"" : historia, chrēseis & sēmasies tou mnēmeiou tōn Incantadas tēs Thessalonikēs : praktika epistēmonikēs diēmeridas 9-10 Iouniou 2018 /",9609621449; 9789609621441,,,Archaiologiko Mouseio Thessalonikēs,Thessalonikē :,2021,"Incantadas of Salonica Congresses.; Monuments--Greece--Thessalonikē--Congresses.; Sculpture, Roman--Greece--Thessalonikē--Congresses.; Caryatids--Congresses.; Thessalonikē (Greece)--Antiquities, Roman--Congresses.; Roman forum at Thessalonica.; Thessalonica.; Monuments--Grèce--Thessalonique--Congrès.; Sculpture romaine--Grèce--Thessalonique--Congrès.; Caryatides--Congrès.",https://pleiades.stoa.org/places/688857980; https://pleiades.stoa.org/places/491741,,0,,,,,2024-02-27,2024-02-27
31154068974516,Book,,DF221.C8 M555 2021,NYU Inst Study Ancient World,Large Collection,9998647309707876,Minōikē Krētē : Hellēnistikē kai Rōmaikē = Minoan Crete : Hellenistic & Roman /,6185438852; 9786185438852,,,Militos Editions,Athēna :,2021.,Crete (Greece)--Pictorial works.; Crete (Greece)--Antiquities--Pictorial works.; Antiquities; Greece--Crete; Pictorial works; Creta (island); Crète (Grèce)--Ouvrages illustrés.; Crète (Grèce)--Antiquités--Ouvrages illustrés.,https://pleiades.stoa.org/places/589748;,https://id.oclc.org/worldcat/entity/E39QbtfRBKr3fKPRjrf7mvYHbM;,1,,,,,2024-02-27,2024-02-27
31154068974524,Book,,DE94 .E853 2022,NYU Inst Study Ancient World,Small Collection,990087068990107876,Evidence combined : Western and Eastern sources in dialogue /,3700185731; 9783700185734,,,Austrian Academy of Sciences Press,Vienna :,[2022],"Mediterranean Region--History--To 1500--Sources--Congresses.; Mediterranean Region--Antiquities--Congresses.; Middle East--History--To 622--Sources--Congresses.; Middle East--Antiquities--Congresses.; Antiquities; Mediterranean Region; Middle East; To 1500; Conference papers and proceedings; History; Internum Mare.; Middle East.; Méditerranée, Région de la--Histoire--Jusqu'à 1500--Sources--Congrès.; Moyen-Orient--Histoire--Jusqu'à 622--Sources--Congrès.; Moyen-Orient--Antiquités--Congrès.",https://pleiades.stoa.org/places/1043; http://vocab.getty.edu/tgn/7001526;,,0,,,,,2024-02-27,2024-02-27
31154068974532,Book,,DF77 .I35 2019,NYU ISAW Offsite,Offsite Collection,9998647308607876,"Idia hē mnēmē ginamenē paron-- : To archaiologiko ergo tōn Ephoreiōn Archaiotētōn kata tē chronikē periodo 2011-2019 : epistēmonikē synantēsē Megaro Mousikēs Athēnōn, 25-28 Noemvriou 2019 : praktika /",9603865583; 9789603865582; 9603865567; 9789603865568; 9603865575; 9789603865575,,"Idia hē mnēmē ginamenē paron : To archaiologiko ergo tōn Ephoreiōn Archaiotētōn kata tē chronikē periodo 2011-2019 Athens, Greece) (2019 :",Ekdosē tou Organismos Diacheirisēs kai Anaptyxēs Politistikōn Porōn,Athēna :,2022,Excavations (Archaeology)--Greece--Congresses.; Greece--Antiquities--Congresses.; Hellas.; Greece.; Grèce--Antiquités--Congrès.,https://pleiades.stoa.org/places/696690497; https://vocab.getty.edu/tgn/1000074; http://vocab.getty.edu/tgn/1000074;,,0,v.1,,,,2024-02-28,2025-02-11
31154068974540,Book,,DF77 .I35 2019,NYU ISAW Offsite,Offsite Collection,9998647308607876,"Idia hē mnēmē ginamenē paron-- : To archaiologiko ergo tōn Ephoreiōn Archaiotētōn kata tē chronikē periodo 2011-2019 : epistēmonikē synantēsē Megaro Mousikēs Athēnōn, 25-28 Noemvriou 2019 : praktika /",9603865583; 9789603865582; 9603865567; 9789603865568; 9603865575; 9789603865575,,"Idia hē mnēmē ginamenē paron : To archaiologiko ergo tōn Ephoreiōn Archaiotētōn kata tē chronikē periodo 2011-2019 Athens, Greece) (2019 :",Ekdosē tou Organismos Diacheirisēs kai Anaptyxēs Politistikōn Porōn,Athēna :,2022,Excavations (Archaeology)--Greece--Congresses.; Greece--Antiquities--Congresses.; Hellas.; Greece.; Grèce--Antiquités--Congrès.,https://pleiades.stoa.org/places/696690497; https://vocab.getty.edu/tgn/1000074; http://vocab.getty.edu/tgn/1000074;,,0,v.2,,,,2024-02-28,2025-02-11
31154068974557,Book,,N5899.C9 M87 2023,NYU Inst Study Ancient World,Small Collection,9998647307907876,Museum of Cycladic Art : highlights /,6185060450; 9786185060459,,,Museum of Cycladic Art; Nicholas & Dolly Goulandris Foundation,Athens,2023,"Mouseio Kykladikēs Technēs--Catalogs.; Mouseio Kykladikēs Technēs--Guidebooks.; Art, Cycladic--Greece--Athens--Catalogs.; Cyclades (Greece)--Antiquities--Catalogs.; catalogs (documents); Catalogs.; Cyclades Islands.; Catalogues.; Art cycladique--Grèce--Athènes--Catalogues.",https://pleiades.stoa.org/places/560353,,0,,,,,2024-02-28,2024-02-28
