id,mms_id,call_number,title,date_acquired,Author,Publisher,Publication Date,Subjects
31154069010369,9998789470307876,DS155 .A78 2021,"Arte, funzione e simboli nella cultura materiale dell'Anatolia Antica = Eski Anadolu'nun maddi kültüründe sanat, işlev ve semboller : XII Convegno sul contributo italiano a scavi, ricerche e studi nelle missioni archeologiche in Turchia = XII Türkiye'deki arkeolojik çalışmalara eğitim, araştırma ve kazıda İtalya katkısı archeologiche in Turchia /",2026-03-19,"Convegno sul contributo italiano a scavi, ricerche e studi nelle missioni archeologiche in Turchia Istanbul), 2021 : author. (12th :",Istituto Italiano di Cultura di Istanbul,[2023],Excavations (Archaeology)--Turkey--Congresses.; Archaeological expeditions--Turkey--Congresses.; Archaeologists--Italy--Congresses.; Turkey--Antiquities--Congresses.; Asia Minor.; Archéologues--Italie--Congrès.; Turquie--Antiquités--Congrès.
31154069010377,9998789470207876,DS110.G3 Z95 2025,Gaza : archaeology and history /,2026-03-19,"Zwickel, Wolfgang, author.",Zaphon,2025.,"Excavations (Archaeology)--Gaza Strip.; Gaza Strip--Antiquities.; Archaeology and history--Gaza Strip.; Archaeology and history--Palestine.; Gaza Strip--History.; Gaza Strip.; Archéologie et histoire--Palestine.; Gaza, Bande de--Histoire."
31154069010385,9998789469707876,DK673 .P46 1969,"Kʻalakʻebi, sopʻlebi da sacarmoo kerebi Rustʻavelis xanis Sakʻartʻveloši /",2026-03-19,,"Gamomcʻemloba ""Mecʻniereba""",1969.,Georgia (Republic)--Antiquities.; Excavations (Archaeology)--Georgia (Republic); Georgia (Republic)--History--To 1801.; Antiquities; Excavations (Archaeology); Georgia (Republic); To 1801; History; Georgia.; Géorgie (République)--Antiquités.; Fouilles (Archéologie)--Géorgie (République); Géorgie (République)--Histoire--Jusqu'à 1801.
31154069010393,9998789469507876,GT1057 .H39 1967,Haykakan taraz : hnaguyn zhamanakneritsʻ minchʻev mer ōrerě = Armi͡anskai͡a odezhda : s drevneĭshikh vremen do nashikh dneĭ /,2026-03-19,"Patrik, Aṛakʻel N., author.",Haykakan SSH GA Hratarakchʻutʻyun,1967.,Costume--Armenia (Republic); Costume; Armenia (Republic); Armenia.
31154069010401,9998789469407876,BL1616.D44 S27 2021,"Amaru / Abūbu : il diluvio mesopotamico : scritti e concetti: posti, proposti e riproposti /",2026-03-19,"Saporetti, Claudio, author.",Tipheret,[2021],"Bible. Genesis Criticism, interpretation, etc.; Deluge.; Mythology, Assyro-Babylonian.; Mythology, Sumerian.; Assyro-Babylonian religion--Influence.; Jews--History--Babylonian captivity, 598-515 B.C.; Bible. Genesis; Deluge; Jews; Mythology, Assyro-Babylonian; Jews in Babylonian captivity--(598 - 515 B.C.); 598-515 B.C.; Criticism, interpretation, etc.; History; Mesopotamia (region); Déluge.; Mythologie assyro-babylonienne.; Religion assyro-babylonienne--Influence.; Juifs--Histoire--598-515 av. J.-C. (Captivité de Babylone); Mythologie sumérienne."
31154069010419,9998789367907876,DS715 .Z466 2024,Zhongguo wen wu zhi.,2026-03-21,,Wen wu chu ban she,2024.,China--Antiquities.; Cultural property.; intangible cultural heritage.; China.; Chine--Antiquités.; Patrimoine culturel immatériel.
31154069010427,9998789367907876,DS715 .Z466 2024,Zhongguo wen wu zhi.,2026-03-21,,Wen wu chu ban she,2024.,China--Antiquities.; Cultural property.; intangible cultural heritage.; China.; Chine--Antiquités.; Patrimoine culturel immatériel.
31154069010435,9998789367907876,DS715 .Z466 2024,Zhongguo wen wu zhi.,2026-03-21,,Wen wu chu ban she,2024.,China--Antiquities.; Cultural property.; intangible cultural heritage.; China.; Chine--Antiquités.; Patrimoine culturel immatériel.
31154069010443,9998789367907876,DS715 .Z466 2024,Zhongguo wen wu zhi.,2026-03-21,,Wen wu chu ban she,2024.,China--Antiquities.; Cultural property.; intangible cultural heritage.; China.; Chine--Antiquités.; Patrimoine culturel immatériel.
31154069010450,9998789669407876,DS162 .T875 1967,Tʻurkʻakan aghbyurner /,2026-03-20,,Haykakan SSH Gitutʻyunneri Akademiayi Hratarakchʻutʻyun,1967-<1972>,Armenia (Republic)--History--Sources.; Armenia (Republic); History; Sources; Armenia.; Arménie--Histoire--1991---Sources.
